location_id,location_name,iso3,age_group,age_label,measure_short,rate,expected_rate,excess_rate,high_observed,high_excess,profile
148,Morocco,MAR,70p,70+ years,DALYs,2120.033521902992,3663.8884018818167,-1543.8548799788246,False,False,neither
149,Palestine,PSE,70p,70+ years,DALYs,3326.483693451184,3441.0117831502967,-114.52808969911256,False,False,neither
150,Oman,OMN,70p,70+ years,DALYs,4568.105958717742,2825.22554236266,1742.880416355083,False,True,excess-only
151,Qatar,QAT,70p,70+ years,DALYs,2952.761696530437,2726.536076691977,226.2256198384598,False,False,neither
152,Saudi Arabia,SAU,70p,70+ years,DALYs,4266.692181489168,2755.384805469186,1511.3073760199818,False,True,excess-only
153,Syrian Arab Republic,SYR,70p,70+ years,DALYs,2592.1742752870027,3919.614433835816,-1327.440158548813,False,False,neither
154,Tunisia,TUN,70p,70+ years,DALYs,2635.9631500579794,3149.4828005850763,-513.5196505270969,False,False,neither
155,Türkiye,TUR,70p,70+ years,DALYs,4874.877374356524,2953.475283761656,1921.4020905948687,False,True,excess-only
156,United Arab Emirates,ARE,70p,70+ years,DALYs,5725.896826163392,2724.5407503896663,3001.356075773725,True,True,double-high
157,Yemen,YEM,70p,70+ years,DALYs,2616.7420700660387,6650.484453440531,-4033.742383374493,False,False,neither
160,Afghanistan,AFG,70p,70+ years,DALYs,3240.17463919526,10132.110967192122,-6891.936327996862,False,False,neither
161,Bangladesh,BGD,70p,70+ years,DALYs,1608.1402312975567,5024.599664548773,-3416.459433251216,False,False,neither
162,Bhutan,BTN,70p,70+ years,DALYs,4441.694482096279,4890.446753472561,-448.7522713762819,False,False,neither
163,India,IND,70p,70+ years,DALYs,4303.013881627612,3717.687917035017,585.325964592595,False,False,neither
164,Nepal,NPL,70p,70+ years,DALYs,4395.689286568836,6023.317226934935,-1627.6279403660992,False,False,neither
165,Pakistan,PAK,70p,70+ years,DALYs,2083.7514605393667,5109.62201121238,-3025.870550673013,False,False,neither
168,Angola,AGO,70p,70+ years,DALYs,7744.503270503252,5382.959863760829,2361.543406742423,True,True,double-high
169,Central African Republic,CAF,70p,70+ years,DALYs,10532.56944558485,12308.131344279976,-1775.561898695125,True,False,benchmark-aligned high burden
170,Congo,COG,70p,70+ years,DALYs,8076.1651611236575,4053.949163504994,4022.215997618664,True,True,double-high
171,Democratic Republic of the Congo,COD,70p,70+ years,DALYs,9496.697152010614,8144.5892260773135,1352.107925933301,True,False,benchmark-aligned high burden
172,Equatorial Guinea,GNQ,70p,70+ years,DALYs,7234.279454088806,3379.159686268513,3855.119767820293,True,True,double-high
173,Gabon,GAB,70p,70+ years,DALYs,7189.3523788375805,3496.196346966953,3693.156031870627,True,True,double-high
175,Burundi,BDI,70p,70+ years,DALYs,10672.592867348849,10975.495730187116,-302.9028628382657,True,False,benchmark-aligned high burden
176,Comoros,COM,70p,70+ years,DALYs,10170.254262787932,5840.577144607842,4329.6771181800905,True,True,double-high
177,Djibouti,DJI,70p,70+ years,DALYs,9442.178432409652,5561.56424410749,3880.614188302162,True,True,double-high
178,Eritrea,ERI,70p,70+ years,DALYs,11095.16042386066,7552.08757632227,3543.0728475383894,True,True,double-high
179,Ethiopia,ETH,70p,70+ years,DALYs,11167.035004270429,8186.336554969913,2980.698449300516,True,True,double-high
180,Kenya,KEN,70p,70+ years,DALYs,9924.01190196408,4472.297742938904,5451.714159025177,True,True,double-high
181,Madagascar,MDG,70p,70+ years,DALYs,16245.852105311307,8622.964022563165,7622.888082748143,True,True,double-high
182,Malawi,MWI,70p,70+ years,DALYs,9957.106653313802,7701.822297011131,2255.284356302671,True,True,double-high
183,Mauritius,MUS,70p,70+ years,DALYs,4145.509360265579,2936.6388204329064,1208.8705398326724,False,False,neither
184,Mozambique,MOZ,70p,70+ years,DALYs,8664.602628910967,9868.170268232125,-1203.567639321158,True,False,benchmark-aligned high burden
185,Rwanda,RWA,70p,70+ years,DALYs,10820.93378329488,6242.568175991802,4578.365607303079,True,True,double-high
186,Seychelles,SYC,70p,70+ years,DALYs,9932.06993676993,2888.811728168368,7043.258208601563,True,True,double-high
187,Somalia,SOM,70p,70+ years,DALYs,10674.13485967591,12899.502662052351,-2225.3678023764405,True,False,benchmark-aligned high burden
189,United Republic of Tanzania,TZA,70p,70+ years,DALYs,7696.007613073444,6148.451984680428,1547.5556283930164,True,True,double-high
190,Uganda,UGA,70p,70+ years,DALYs,6080.700577617751,6761.390840268175,-680.6902626504234,True,False,benchmark-aligned high burden
191,Zambia,ZMB,70p,70+ years,DALYs,9242.92059765262,5252.773969684373,3990.1466279682463,True,True,double-high
193,Botswana,BWA,70p,70+ years,DALYs,9876.15775304752,3181.974707690529,6694.183045356991,True,True,double-high
194,Lesotho,LSO,70p,70+ years,DALYs,9629.344732814125,5167.128098519212,4462.216634294913,True,True,double-high
195,Namibia,NAM,70p,70+ years,DALYs,8547.360627501283,3595.5264630954657,4951.834164405816,True,True,double-high
196,South Africa,ZAF,70p,70+ years,DALYs,6736.065588146535,3060.3712953558133,3675.694292790722,True,True,double-high
197,Eswatini,SWZ,70p,70+ years,DALYs,7806.008877321948,3718.501150803864,4087.507726518084,True,True,double-high
198,Zimbabwe,ZWE,70p,70+ years,DALYs,8157.0667389558575,5557.643712020122,2599.423026935736,True,True,double-high
200,Benin,BEN,70p,70+ years,DALYs,11528.671569116546,7793.72466304133,3734.946906075216,True,True,double-high
201,Burkina Faso,BFA,70p,70+ years,DALYs,12115.631651354011,10990.924200590114,1124.7074507638972,True,False,benchmark-aligned high burden
202,Cameroon,CMR,70p,70+ years,DALYs,12101.35256700704,5648.696504627517,6452.656062379522,True,True,double-high
203,Cabo Verde,CPV,70p,70+ years,DALYs,9039.198374031164,4265.073625747114,4774.12474828405,True,True,double-high
204,Chad,TCD,70p,70+ years,DALYs,14179.86834619494,12724.728102321253,1455.1402438736875,True,False,benchmark-aligned high burden
205,Côte d'Ivoire,CIV,70p,70+ years,DALYs,9946.942924594505,6514.5275202038665,3432.4154043906383,True,True,double-high
206,Gambia,GMB,70p,70+ years,DALYs,18720.353929310382,7028.673743525609,11691.680185784771,True,True,double-high
207,Ghana,GHA,70p,70+ years,DALYs,11841.410743582894,4107.474515508877,7733.936228074017,True,True,double-high
208,Guinea,GIN,70p,70+ years,DALYs,13689.670976446176,9430.060652548163,4259.610323898012,True,True,double-high
209,Guinea-Bissau,GNB,70p,70+ years,DALYs,12699.341533608917,8836.958156675684,3862.383376933232,True,True,double-high
210,Liberia,LBR,70p,70+ years,DALYs,9095.2231638892,8525.961513549057,569.2616503401441,True,False,benchmark-aligned high burden
